CHLRE_01g000017v5 Cre01.g000017
CHLRE_12g550153v5 Cre12.g550153
CHLRE_12g550000v5 Cre12.g550000
CHLRE_12g549950v5 Cre12.g549950
CHLRE_12g549900v5 Cre12.g549900
CHLRE_12g549850v5 Cre12.g549850
CHLRE_12g549800v5 Cre12.g549800
CHLRE_12g549750v5 Cre12.g549750
CHLRE_12g549700v5 Cre12.g549700
CHLRE_12g549650v5 Cre12.g549650
CHLRE_12g549600v5 Cre12.g549600
CHLRE_12g549550v5 Name=TUBB2
CHLRE_12g549500v5 Cre12.g549500
CHLRE_12g549450v5 Cre12.g549450
CHLRE_12g549400v5 Cre12.g549400
CHLRE_12g549350v5 Cre12.g549350
CHLRE_12g549300v5 Cre12.g549300
CHLRE_12g549250v5 Cre12.g549250
CHLRE_12g549200v5 Cre12.g549200
CHLRE_12g549150v5 Cre12.g549150
CHLRE_12g549100v5 Cre12.g549100
CHLRE_12g549050v5 Cre12.g549050
CHLRE_12g549000v5 Cre12.g549000
CHLRE_12g548955v5 Cre12.g548955
CHLRE_12g548950v5 Cre12.g548950
CHLRE_12g548900v5 Cre12.g548900
CHLRE_12g548901v5 Cre12.g548901
CHLRE_12g548800v5 Cre12.g548800
CHLRE_12g548750v5 Cre12.g548750
CHLRE_12g548700v5 Cre12.g548700
CHLRE_12g548702v5 Cre12.g548702
CHLRE_12g548650v5 Cre12.g548650
CHLRE_12g548651v5 Cre12.g548651
CHLRE_12g548550v5 Cre12.g548550
CHLRE_12g548500v5 Cre12.g548500
CHLRE_12g548450v5 Cre12.g548450
CHLRE_12g548400v5 Cre12.g548400
CHLRE_12g548391v5 Cre12.g548391
CHLRE_12g548350v5 Cre12.g548350
CHLRE_12g548300v5 Cre12.g548300
CHLRE_12g548250v5 Cre12.g548250
CHLRE_12g548200v5 Cre12.g548200
CHLRE_12g548201v5 Cre12.g548201
CHLRE_12g548100v5 Cre12.g548100
CHLRE_12g548050v5 Cre12.g548050
CHLRE_12g548051v5 Cre12.g548051
CHLRE_12g548000v5 Cre12.g548000
CHLRE_12g547950v5 Cre12.g547950
CHLRE_12g547900v5 Cre12.g547900
CHLRE_12g547850v5 Cre12.g547850
CHLRE_12g547800v5 Cre12.g547800
CHLRE_12g547750v5 Cre12.g547750
CHLRE_12g547734v5 Cre12.g547734
CHLRE_12g547700v5 Cre12.g547700
CHLRE_12g547650v5 Cre12.g547650
CHLRE_12g547651v5 Cre12.g547651
CHLRE_12g547500v5 Cre12.g547500
CHLRE_12g547450v5 Cre12.g547450
CHLRE_12g547400v5 Cre12.g547400
CHLRE_12g547351v5 Cre12.g547351
CHLRE_12g547350v5 Cre12.g547350
CHLRE_12g547300v5 Cre12.g547300
CHLRE_12g547250v5 Cre12.g547250
CHLRE_12g547200v5 Cre12.g547200
CHLRE_12g547150v5 Cre12.g547150
CHLRE_12g547100v5 Cre12.g547100
CHLRE_12g547050v5 Cre12.g547050
CHLRE_12g547000v5 Cre12.g547000
CHLRE_12g547001v5 Cre12.g547001
CHLRE_12g546950v5 Cre12.g546950
CHLRE_12g546900v5 Cre12.g546900
CHLRE_12g546850v5 Cre12.g546850
CHLRE_12g546800v5 Cre12.g546800
CHLRE_12g546770v5 Cre12.g546770
CHLRE_12g546750v5 Cre12.g546750
CHLRE_12g546700v5 Cre12.g546700
CHLRE_12g546650v5 Cre12.g546650
CHLRE_12g546600v5 Cre12.g546600
CHLRE_12g546550v5 Cre12.g546550
CHLRE_12g546500v5 Cre12.g546500
CHLRE_12g546450v5 Cre12.g546450
CHLRE_12g546400v5 Cre12.g546400
CHLRE_12g546350v5 Cre12.g546350
CHLRE_12g546300v5 Cre12.g546300
CHLRE_12g546250v5 Cre12.g546250
CHLRE_12g546200v5 Cre12.g546200
CHLRE_12g546150v5 Name=petM
CHLRE_12g546100v5 Cre12.g546100
CHLRE_12g546050v5 Cre12.g546050
CHLRE_12g546000v5 Cre12.g546000
CHLRE_12g545950v5 Cre12.g545950
CHLRE_12g545900v5 Cre12.g545900
CHLRE_12g545850v5 Cre12.g545850
CHLRE_12g545800v5 Cre12.g545800
CHLRE_12g545750v5 Cre12.g545750
CHLRE_12g545752v5 Cre12.g545752
CHLRE_12g545700v5 Cre12.g545700
CHLRE_12g545703v5 Cre12.g545703
CHLRE_12g545650v5 Cre12.g545650
CHLRE_12g545704v5 Cre12.g545704
CHLRE_12g545619v5 Cre12.g545619
CHLRE_12g545600v5 Cre12.g545600
CHLRE_12g545550v5 Cre12.g545550
CHLRE_12g545500v5 Cre12.g545500
CHLRE_12g545450v5 Cre12.g545450
CHLRE_12g545400v5 Cre12.g545400
CHLRE_12g545401v5 Cre12.g545401
CHLRE_12g545300v5 Cre12.g545300
CHLRE_12g545250v5 Cre12.g545250
CHLRE_12g545150v5 Cre12.g545150
CHLRE_12g545100v5 Cre12.g545100
CHLRE_12g545101v5 Cre12.g545101
CHLRE_12g545000v5 Cre12.g545000
CHLRE_12g544950v5 Cre12.g544950
CHLRE_12g544952v5 Cre12.g544952
CHLRE_12g544900v5 Cre12.g544900
CHLRE_12g544850v5 Cre12.g544850
CHLRE_12g544800v5 Cre12.g544800
CHLRE_12g544802v5 Cre12.g544802
CHLRE_12g544750v5 Cre12.g544750
CHLRE_12g544700v5 Cre12.g544700
CHLRE_12g544662v5 Cre12.g544662
CHLRE_12g544650v5 Cre12.g544650
CHLRE_12g544600v5 Cre12.g544600
CHLRE_12g544550v5 Cre12.g544550
CHLRE_12g544551v5 Cre12.g544551
CHLRE_12g544450v5 Cre12.g544450
CHLRE_12g544400v5 Cre12.g544400
CHLRE_12g544401v5 Cre12.g544401
CHLRE_12g544300v5 Cre12.g544300
CHLRE_12g544250v5 Cre12.g544250
CHLRE_12g544200v5 Cre12.g544200
CHLRE_12g544150v5 Cre12.g544150
CHLRE_12g544100v5 Cre12.g544100
CHLRE_12g544109v5 Cre12.g544109
CHLRE_12g544110v5 Cre12.g544110
CHLRE_12g544111v5 Cre12.g544111
CHLRE_12g544112v5 Cre12.g544112
CHLRE_12g544113v5 Cre12.g544113
CHLRE_12g544114v5 Cre12.g544114
CHLRE_12g544115v5 Cre12.g544115
CHLRE_12g544050v5 Cre12.g544050
CHLRE_12g544000v5 Cre12.g544000
CHLRE_12g543950v5 Cre12.g543950
CHLRE_12g543900v5 Cre12.g543900
CHLRE_12g543850v5 Cre12.g543850
CHLRE_12g543800v5 Cre12.g543800
CHLRE_12g543700v5 Cre12.g543700
CHLRE_12g543650v5 Cre12.g543650
CHLRE_12g543550v5 Cre12.g543550
CHLRE_12g543500v5 Cre12.g543500
CHLRE_12g543450v5 Cre12.g543450
CHLRE_12g543400v5 Cre12.g543400
CHLRE_12g543350v5 Cre12.g543350
CHLRE_12g543300v5 Cre12.g543300
CHLRE_12g543301v5 Cre12.g543301
CHLRE_12g543302v5 Cre12.g543302
CHLRE_12g543303v5 Cre12.g543303
CHLRE_12g543100v5 Cre12.g543100
CHLRE_12g543050v5 Cre12.g543050
CHLRE_12g543000v5 Cre12.g543000
CHLRE_12g542950v5 Cre12.g542950
CHLRE_12g542900v5 Cre12.g542900
CHLRE_12g542850v5 Cre12.g542850
CHLRE_12g542800v5 Cre12.g542800
CHLRE_12g542750v5 Cre12.g542750
CHLRE_12g542700v5 Cre12.g542700
CHLRE_12g542650v5 Cre12.g542650
CHLRE_12g542600v5 Cre12.g542600
CHLRE_12g542601v5 Cre12.g542601
CHLRE_12g542569v5 Cre12.g542569
CHLRE_12g542550v5 Cre12.g542550
CHLRE_12g542500v5 Cre12.g542500
CHLRE_12g542450v5 Cre12.g542450
CHLRE_12g542400v5 Cre12.g542400
CHLRE_12g542350v5 Cre12.g542350
CHLRE_12g542300v5 Cre12.g542300
CHLRE_12g542250v5 Name=TUBB2
CHLRE_12g542200v5 Cre12.g542200
CHLRE_12g542150v5 Cre12.g542150
CHLRE_12g542100v5 Cre12.g542100
CHLRE_12g542050v5 Cre12.g542050
CHLRE_12g542000v5 Cre12.g542000
CHLRE_12g541950v5 Cre12.g541950
CHLRE_12g541904v5 Cre12.g541904
CHLRE_12g541850v5 Cre12.g541850
CHLRE_12g541851v5 Cre12.g541851
CHLRE_12g541800v5 Cre12.g541800
CHLRE_12g541750v5 Cre12.g541750
CHLRE_12g541700v5 Cre12.g541700
CHLRE_12g541650v5 Cre12.g541650
CHLRE_12g541600v5 Cre12.g541600
CHLRE_12g541550v5 Cre12.g541550
CHLRE_12g541500v5 Cre12.g541500
CHLRE_12g541450v5 Cre12.g541450
CHLRE_12g541400v5 Cre12.g541400
CHLRE_12g541350v5 Cre12.g541350
CHLRE_12g541300v5 Cre12.g541300
CHLRE_12g541250v5 Cre12.g541250
CHLRE_12g541252v5 Cre12.g541252
CHLRE_12g541211v5 Cre12.g541211
CHLRE_12g541200v5 Cre12.g541200
CHLRE_12g541150v5 Cre12.g541150
CHLRE_12g541100v5 Cre12.g541100
CHLRE_12g541050v5 Cre12.g541050
CHLRE_12g541000v5 Cre12.g541000
CHLRE_12g540950v5 Cre12.g540950
CHLRE_12g540900v5 Cre12.g540900
CHLRE_12g540850v5 Cre12.g540850
CHLRE_12g540800v5 Cre12.g540800
CHLRE_12g540750v5 Cre12.g540750
CHLRE_12g540700v5 Cre12.g540700
CHLRE_12g540650v5 Cre12.g540650
CHLRE_12g540550v5 Cre12.g540550
CHLRE_12g540500v5 Cre12.g540500
CHLRE_12g540480v5 Cre12.g540480
CHLRE_12g540450v5 Cre12.g540450
CHLRE_12g540400v5 Cre12.g540400
CHLRE_12g540350v5 Cre12.g540350
CHLRE_12g540351v5 Cre12.g540351
CHLRE_12g540250v5 Cre12.g540250
CHLRE_12g540200v5 Cre12.g540200
CHLRE_12g540150v5 Cre12.g540150
CHLRE_12g540100v5 Cre12.g540100
CHLRE_12g540050v5 Cre12.g540050
CHLRE_12g540051v5 Cre12.g540051
CHLRE_12g539900v5 Cre12.g539900
CHLRE_12g539850v5 Cre12.g539850
CHLRE_12g539800v5 Cre12.g539800
CHLRE_12g539750v5 Cre12.g539750
CHLRE_12g539700v5 Cre12.g539700
CHLRE_12g539650v5 Cre12.g539650
CHLRE_12g540076v5 Cre12.g540076
CHLRE_12g540502v5 Cre12.g540502
CHLRE_12g540927v5 Cre12.g540927
CHLRE_12g541352v5 Cre12.g541352
CHLRE_12g541777v5 Cre12.g541777
CHLRE_12g542202v5 Cre12.g542202
CHLRE_12g542627v5 Cre12.g542627
CHLRE_12g543052v5 Cre12.g543052
CHLRE_12g543477v5 Cre12.g543477
CHLRE_12g543902v5 Cre12.g543902
CHLRE_12g544327v5 Cre12.g544327
CHLRE_12g544752v5 Cre12.g544752
CHLRE_12g545177v5 Cre12.g545177
CHLRE_12g545602v5 Cre12.g545602
CHLRE_12g546027v5 Cre12.g546027
CHLRE_12g546452v5 Cre12.g546452
CHLRE_12g546877v5 Cre12.g546877
CHLRE_12g547302v5 Cre12.g547302
CHLRE_12g547727v5 Cre12.g547727
CHLRE_12g548152v5 Cre12.g548152
CHLRE_12g548577v5 Cre12.g548577
CHLRE_12g549002v5 Cre12.g549002
CHLRE_12g549427v5 Cre12.g549427
CHLRE_12g549852v5 Cre12.g549852
CHLRE_12g550277v5 Cre12.g550277
CHLRE_12g550702v5 Cre12.g550702
CHLRE_12g551127v5 Cre12.g551127
CHLRE_12g551552v5 Cre12.g551552
CHLRE_12g551977v5 Cre12.g551977
CHLRE_12g552402v5 Cre12.g552402
CHLRE_12g552827v5 Cre12.g552827
CHLRE_12g553253v5 Cre12.g553253
CHLRE_12g553678v5 Cre12.g553678
CHLRE_12g554103v5 Cre12.g554103
CHLRE_12g554528v5 Cre12.g554528
CHLRE_12g554953v5 Cre12.g554953
CHLRE_12g555378v5 Cre12.g555378
CHLRE_12g555803v5 Cre12.g555803
CHLRE_12g556228v5 Cre12.g556228
CHLRE_12g556653v5 Cre12.g556653
CHLRE_12g557078v5 Cre12.g557078
CHLRE_12g557503v5 Cre12.g557503
CHLRE_12g557928v5 Cre12.g557928
CHLRE_12g558353v5 Cre12.g558353
CHLRE_13g561800v5 Cre13.g561800
CHLRE_13g561850v5 Cre13.g561850
CHLRE_13g561900v5 Cre13.g561900
CHLRE_13g561950v5 Cre13.g561950
CHLRE_13g562000v5 Cre13.g562000
CHLRE_13g562031v5 Cre13.g562031
CHLRE_13g562062v5 Cre13.g562062
CHLRE_13g562100v5 Cre13.g562100
CHLRE_13g562150v5 Cre13.g562150
CHLRE_13g562200v5 Cre13.g562200
CHLRE_13g562250v5 Cre13.g562250
CHLRE_13g562300v5 Cre13.g562300
CHLRE_13g562326v5 Cre13.g562326
CHLRE_13g562350v5 Cre13.g562350
CHLRE_13g562400v5 Cre13.g562400
CHLRE_13g562450v5 Cre13.g562450
CHLRE_13g562475v5 Cre13.g562475
CHLRE_13g562501v5 Cre13.g562501
CHLRE_13g562526v5 Cre13.g562526
CHLRE_13g562550v5 Cre13.g562550
CHLRE_13g562650v5 Cre13.g562650
CHLRE_13g562700v5 Cre13.g562700
CHLRE_13g562750v5 Cre13.g562750
CHLRE_13g562800v5 Cre13.g562800
CHLRE_13g562850v5 Cre13.g562850
CHLRE_13g562900v5 Cre13.g562900
CHLRE_13g562950v5 Cre13.g562950
CHLRE_13g563006v5 Cre13.g563006
CHLRE_13g563050v5 Cre13.g563050
CHLRE_13g563100v5 Cre13.g563100
CHLRE_13g563150v5 Cre13.g563150
CHLRE_13g563200v5 Cre13.g563200
CHLRE_13g563250v5 Cre13.g563250
CHLRE_13g563300v5 Cre13.g563300
CHLRE_13g563326v5 Cre13.g563326
CHLRE_13g563350v5 Cre13.g563350
CHLRE_13g563400v5 Cre13.g563400
CHLRE_13g563450v5 Cre13.g563450
CHLRE_13g563476v5 Cre13.g563476
CHLRE_13g563500v5 Cre13.g563500
CHLRE_13g563550v5 Cre13.g563550
CHLRE_13g563600v5 Cre13.g563600
CHLRE_13g563650v5 Cre13.g563650
CHLRE_13g563700v5 Cre13.g563700
CHLRE_13g563733v5 Cre13.g563733
CHLRE_13g563800v5 Cre13.g563800
CHLRE_13g563850v5 Cre13.g563850
CHLRE_13g563876v5 Cre13.g563876
CHLRE_13g563900v5 Cre13.g563900
CHLRE_13g563926v5 Cre13.g563926
CHLRE_13g563950v5 Cre13.g563950
CHLRE_13g564000v5 Cre13.g564000
CHLRE_13g564050v5 Cre13.g564050
CHLRE_13g564100v5 Cre13.g564100
CHLRE_13g564151v5 Cre13.g564151
CHLRE_13g564200v5 Cre13.g564200
CHLRE_13g564250v5 Cre13.g564250
CHLRE_13g564350v5 Cre13.g564350
CHLRE_13g564400v5 Cre13.g564400
CHLRE_13g564426v5 Cre13.g564426
CHLRE_13g564450v5 Cre13.g564450
CHLRE_13g564500v5 Cre13.g564500
CHLRE_13g564550v5 Cre13.g564550
CHLRE_13g564583v5 Cre13.g564583
CHLRE_13g564650v5 Cre13.g564650
CHLRE_13g564700v5 Cre13.g564700
CHLRE_13g564750v5 Cre13.g564750
CHLRE_13g564766v5 Cre13.g564766
CHLRE_13g564800v5 Cre13.g564800
CHLRE_13g564812v5 Cre13.g564812
CHLRE_13g564850v5 Cre13.g564850
CHLRE_13g564900v5 Cre13.g564900
CHLRE_13g564950v5 Cre13.g564950
CHLRE_13g565000v5 Cre13.g565000
CHLRE_13g565050v5 Cre13.g565050
CHLRE_13g565083v5 Cre13.g565083
CHLRE_13g565116v5 Cre13.g565116
CHLRE_13g565150v5 Cre13.g565150
CHLRE_13g565200v5 Cre13.g565200
CHLRE_13g565250v5 Cre13.g565250
CHLRE_13g565260v5 Cre13.g565260
CHLRE_13g565270v5 Cre13.g565270
CHLRE_13g565280v5 Cre13.g565280
CHLRE_13g565290v5 Cre13.g565290
CHLRE_13g565301v5 Cre13.g565301
CHLRE_13g565311v5 Cre13.g565311
CHLRE_13g565321v5 Cre13.g565321
CHLRE_13g565350v5 Cre13.g565350
CHLRE_13g565400v5 Cre13.g565400
CHLRE_13g565450v5 Cre13.g565450
CHLRE_13g565484v5 Cre13.g565484
CHLRE_13g565517v5 Cre13.g565517
CHLRE_13g565550v5 Cre13.g565550
CHLRE_13g565600v5 Cre13.g565600
CHLRE_13g565650v5 Cre13.g565650
CHLRE_13g565675v5 Cre13.g565675
CHLRE_13g565700v5 Cre13.g565700
CHLRE_13g565750v5 Cre13.g565750
CHLRE_13g565800v5 Cre13.g565800
CHLRE_13g565850v5 Cre13.g565850
CHLRE_13g565900v5 Cre13.g565900
CHLRE_13g565950v5 Cre13.g565950
CHLRE_13g566000v5 Cre13.g566000
CHLRE_13g566050v5 Cre13.g566050
CHLRE_13g566100v5 Cre13.g566100
CHLRE_13g566150v5 Cre13.g566150
CHLRE_13g566200v5 Cre13.g566200
CHLRE_13g566250v5 Cre13.g566250
CHLRE_13g566300v5 Cre13.g566300
CHLRE_13g566350v5 Cre13.g566350
CHLRE_13g566400v5 Cre13.g566400
CHLRE_13g566450v5 Cre13.g566450
CHLRE_13g566500v5 Cre13.g566500
CHLRE_13g566550v5 Cre13.g566550
CHLRE_13g566600v5 Cre13.g566600
CHLRE_13g566626v5 Cre13.g566626
CHLRE_13g566650v5 Cre13.g566650
CHLRE_13g566700v5 Cre13.g566700
CHLRE_13g566750v5 Cre13.g566750
CHLRE_13g566800v5 Cre13.g566800
CHLRE_13g566850v5 Cre13.g566850
CHLRE_13g566900v5 Cre13.g566900
CHLRE_13g566925v5 Cre13.g566925
CHLRE_13g566951v5 Cre13.g566951
CHLRE_13g567000v5 Cre13.g567000
CHLRE_13g567050v5 Cre13.g567050
CHLRE_13g567075v5 Cre13.g567075
CHLRE_13g567100v5 Cre13.g567100
CHLRE_13g567150v5 Cre13.g567150
CHLRE_13g567200v5 Cre13.g567200
CHLRE_13g567250v5 Cre13.g567250
CHLRE_13g567300v5 Cre13.g567300
CHLRE_13g567327v5 Cre13.g567327
CHLRE_13g567363v5 Cre13.g567363
CHLRE_13g567400v5 Cre13.g567400
CHLRE_13g567426v5 Cre13.g567426
CHLRE_13g567450v5 Cre13.g567450
CHLRE_13g567500v5 Cre13.g567500
CHLRE_13g567550v5 Cre13.g567550
CHLRE_13g567600v5 Cre13.g567600
CHLRE_13g567626v5 Cre13.g567626
CHLRE_13g567650v5 Cre13.g567650
CHLRE_13g567700v5 Cre13.g567700
CHLRE_13g567750v5 Cre13.g567750
CHLRE_13g567800v5 Cre13.g567800
CHLRE_13g567850v5 Cre13.g567850
CHLRE_13g567901v5 Cre13.g567901
CHLRE_13g567950v5 Cre13.g567950
CHLRE_13g568000v5 Cre13.g568000
CHLRE_13g568025v5 Cre13.g568025
CHLRE_13g568050v5 Cre13.g568050
CHLRE_13g568100v5 Cre13.g568100
CHLRE_13g568150v5 Cre13.g568150
CHLRE_13g568176v5 Cre13.g568176
CHLRE_13g568200v5 Cre13.g568200
CHLRE_13g568250v5 Cre13.g568250
CHLRE_13g568300v5 Cre13.g568300
CHLRE_13g568316v5 Cre13.g568316
CHLRE_13g568350v5 Cre13.g568350
CHLRE_13g568400v5 Cre13.g568400
CHLRE_13g568450v5 Cre13.g568450
CHLRE_13g568467v5 Cre13.g568467
CHLRE_13g568500v5 Cre13.g568500
CHLRE_13g568550v5 Cre13.g568550
CHLRE_13g568600v5 Cre13.g568600
CHLRE_13g568650v5 Cre13.g568650
CHLRE_13g568672v5 Cre13.g568672
CHLRE_13g568700v5 Cre13.g568700
CHLRE_13g568750v5 Cre13.g568750
CHLRE_13g568800v5 Cre13.g568800
CHLRE_13g568850v5 Cre13.g568850
CHLRE_13g568900v5 Cre13.g568900
CHLRE_13g568950v5 Cre13.g568950
CHLRE_13g569000v5 Cre13.g569000
CHLRE_13g569050v5 Cre13.g569050
CHLRE_13g569100v5 Cre13.g569100
CHLRE_13g569150v5 Cre13.g569150
CHLRE_13g569200v5 Cre13.g569200
CHLRE_13g569250v5 Cre13.g569250
CHLRE_13g569275v5 Cre13.g569275
CHLRE_13g569300v5 Cre13.g569300
CHLRE_13g569326v5 Cre13.g569326
CHLRE_13g569350v5 Cre13.g569350
CHLRE_13g569400v5 Cre13.g569400
CHLRE_13g569450v5 Cre13.g569450
CHLRE_13g569500v5 Cre13.g569500
CHLRE_13g569550v5 Cre13.g569550
CHLRE_13g569600v5 Cre13.g569600
CHLRE_13g569651v5 Cre13.g569651
CHLRE_13g569700v5 Cre13.g569700
CHLRE_13g569750v5 Cre13.g569750
CHLRE_13g569801v5 Cre13.g569801
CHLRE_13g569850v5 Cre13.g569850
CHLRE_13g569900v5 Cre13.g569900
CHLRE_13g569950v5 Name=ch3-III
CHLRE_13g570000v5 Cre13.g570000
CHLRE_13g570050v5 Cre13.g570050
CHLRE_13g570100v5 Name=H2A-II
CHLRE_13g570150v5 Cre13.g570150
CHLRE_13g570200v5 Cre13.g570200
CHLRE_13g570250v5 Cre13.g570250
CHLRE_13g570300v5 Cre13.g570300
CHLRE_13g570350v5 Cre13.g570350
CHLRE_13g570400v5 Cre13.g570400
CHLRE_13g570450v5 Cre13.g570450
CHLRE_13g570500v5 Cre13.g570500
CHLRE_13g570550v5 Cre13.g570550
CHLRE_13g570600v5 Cre13.g570600
CHLRE_13g570650v5 Cre13.g570650
CHLRE_13g570700v5 Cre13.g570700
CHLRE_13g570751v5 Cre13.g570751
CHLRE_13g570801v5 Cre13.g570801
CHLRE_13g570851v5 Cre13.g570851
CHLRE_13g570900v5 Cre13.g570900
CHLRE_13g570951v5 Cre13.g570951
CHLRE_13g571000v5 Cre13.g571000
CHLRE_13g571050v5 Cre13.g571050
CHLRE_13g571100v5 Cre13.g571100
CHLRE_13g571150v5 Cre13.g571150
CHLRE_13g571200v5 Cre13.g571200
CHLRE_13g571251v5 Cre13.g571251
CHLRE_13g571300v5 Cre13.g571300
CHLRE_13g571400v5 Cre13.g571400
CHLRE_13g571450v5 Cre13.g571450
CHLRE_13g571500v5 Cre13.g571500
CHLRE_13g571520v5 Cre13.g571520
CHLRE_13g571540v5 Cre13.g571540
CHLRE_13g571560v5 Cre13.g571560
CHLRE_13g571580v5 Cre13.g571580
CHLRE_13g571600v5 Cre13.g571600
CHLRE_13g571650v5 Cre13.g571650
CHLRE_13g571700v5 Cre13.g571700
CHLRE_13g571750v5 Cre13.g571750
CHLRE_13g571800v5 Cre13.g571800
CHLRE_13g571850v5 Cre13.g571850
CHLRE_13g571876v5 Cre13.g571876
CHLRE_13g571902v5 Cre13.g571902
CHLRE_13g571927v5 Cre13.g571927
CHLRE_13g571950v5 Cre13.g571950
CHLRE_13g572000v5 Cre13.g572000
CHLRE_13g572050v5 Cre13.g572050
CHLRE_13g572100v5 Cre13.g572100
CHLRE_13g572150v5 Cre13.g572150
CHLRE_13g572200v5 Cre13.g572200
CHLRE_13g572250v5 Cre13.g572250
CHLRE_13g572272v5 Cre13.g572272
CHLRE_13g572312v5 Cre13.g572312
CHLRE_13g572350v5 Cre13.g572350
CHLRE_13g572375v5 Cre13.g572375
CHLRE_13g572401v5 Cre13.g572401
CHLRE_13g572450v5 Cre13.g572450
CHLRE_13g572500v5 Cre13.g572500
CHLRE_13g572550v5 Cre13.g572550
CHLRE_13g572600v5 Cre13.g572600
CHLRE_13g572650v5 Cre13.g572650
CHLRE_13g572700v5 Cre13.g572700
CHLRE_13g572732v5 Cre13.g572732
CHLRE_13g572750v5 Cre13.g572750
CHLRE_13g572800v5 Cre13.g572800
CHLRE_13g572850v5 Cre13.g572850
CHLRE_13g572900v5 Cre13.g572900
CHLRE_13g572950v5 Cre13.g572950
CHLRE_13g573000v5 Cre13.g573000
CHLRE_13g573050v5 Cre13.g573050
CHLRE_13g573100v5 Cre13.g573100
CHLRE_13g573150v5 Cre13.g573150
CHLRE_13g573200v5 Cre13.g573200
CHLRE_13g573250v5 Cre13.g573250
CHLRE_13g573300v5 Cre13.g573300
CHLRE_13g573351v5 Cre13.g573351
CHLRE_13g573400v5 Cre13.g573400
CHLRE_13g573450v5 Cre13.g573450
CHLRE_13g573500v5 Cre13.g573500
CHLRE_13g573550v5 Cre13.g573550
CHLRE_13g573600v5 Cre13.g573600
CHLRE_13g573650v5 Cre13.g573650
CHLRE_13g573700v5 Cre13.g573700
CHLRE_13g573750v5 Cre13.g573750
CHLRE_13g573800v5 Cre13.g573800
CHLRE_13g573850v5 Cre13.g573850
CHLRE_13g573900v5 Cre13.g573900
CHLRE_13g573950v5 Cre13.g573950
CHLRE_13g574000v5 Cre13.g574000
CHLRE_13g574041v5 Cre13.g574041
CHLRE_13g574050v5 Cre13.g574050
CHLRE_13g574100v5 Cre13.g574100
CHLRE_13g574150v5 Cre13.g574150
CHLRE_13g574200v5 Cre13.g574200
CHLRE_13g574250v5 Cre13.g574250
CHLRE_13g574300v5 Cre13.g574300
CHLRE_13g574350v5 Cre13.g574350
CHLRE_13g574375v5 Cre13.g574375
CHLRE_13g574400v5 Cre13.g574400
CHLRE_13g574500v5 Cre13.g574500
CHLRE_13g574551v5 Cre13.g574551
CHLRE_13g574600v5 Cre13.g574600
CHLRE_13g574650v5 Cre13.g574650
CHLRE_13g574700v5 Cre13.g574700
CHLRE_13g574750v5 Cre13.g574750
CHLRE_13g574800v5 Cre13.g574800
CHLRE_13g574850v5 Cre13.g574850
CHLRE_13g574900v5 Cre13.g574900
CHLRE_13g574950v5 Cre13.g574950
CHLRE_13g575000v5 CCS1
CHLRE_13g575050v5 Cre13.g575050
CHLRE_13g575101v5 Cre13.g575101
CHLRE_13g575150v5 Cre13.g575150
CHLRE_13g575175v5 Cre13.g575175
CHLRE_13g575200v5 Cre13.g575200
CHLRE_13g575250v5 Cre13.g575250
CHLRE_13g575300v5 Cre13.g575300
CHLRE_13g575333v5 Cre13.g575333
CHLRE_13g575366v5 Cre13.g575366
CHLRE_13g575400v5 Cre13.g575400
CHLRE_13g575450v5 Cre13.g575450
CHLRE_13g575500v5 Cre13.g575500
CHLRE_13g575550v5 Cre13.g575550
CHLRE_13g575600v5 Cre13.g575600
CHLRE_13g575650v5 Cre13.g575650
CHLRE_13g575701v5 Cre13.g575701
CHLRE_13g575750v5 Cre13.g575750
CHLRE_13g575776v5 Cre13.g575776
CHLRE_13g575800v5 Cre13.g575800
CHLRE_13g575850v5 Cre13.g575850
CHLRE_13g575900v5 Cre13.g575900
CHLRE_13g575950v5 Cre13.g575950
CHLRE_13g576000v5 Cre13.g576000
CHLRE_13g576050v5 Cre13.g576050
CHLRE_13g576100v5 Cre13.g576100
CHLRE_13g576150v5 Cre13.g576150
CHLRE_13g576200v5 Cre13.g576200
CHLRE_13g576250v5 Cre13.g576250
CHLRE_13g576300v5 Cre13.g576300
CHLRE_13g576350v5 Cre13.g576350
CHLRE_13g576400v5 Cre13.g576400
CHLRE_13g576433v5 Cre13.g576433
CHLRE_13g576466v5 Cre13.g576466
CHLRE_13g576500v5 Cre13.g576500
CHLRE_13g576550v5 Cre13.g576550
CHLRE_13g576600v5 Cre13.g576600
CHLRE_13g576650v5 Cre13.g576650
CHLRE_13g576700v5 Cre13.g576700
CHLRE_13g576720v5 Cre13.g576720
CHLRE_13g576740v5 Cre13.g576740
CHLRE_13g576760v5 Cre13.g576760
CHLRE_13g576800v5 Cre13.g576800
CHLRE_13g576850v5 Cre13.g576850
CHLRE_13g576900v5 Cre13.g576900
CHLRE_13g576950v5 Cre13.g576950
CHLRE_13g577000v5 Cre13.g577000
CHLRE_13g577026v5 Cre13.g577026
CHLRE_13g577050v5 Cre13.g577050
CHLRE_13g577100v5 Cre13.g577100
CHLRE_13g577150v5 Cre13.g577150
CHLRE_13g577201v5 Cre13.g577201
CHLRE_13g577250v5 Cre13.g577250
CHLRE_13g577300v5 Cre13.g577300
CHLRE_13g577352v5 Cre13.g577352
CHLRE_13g577400v5 Cre13.g577400
CHLRE_13g577450v5 Cre13.g577450
